"12","Tuesday","7A07","12:10:00","13:00:00","A","3","CSE1205","Theory"
"12","Wednesday","7B03","10:30:00","13:00:00","A","1","CSE1206","Lab"
"12","Wednesday","7A03","13:00:00","13:50:00","A","3","EEE1241","Theory"
"12","Wednesday","7A03","13:50:00","14:40:00","A","3","EEE1241","Theory"
"12","Wednesday","7A03","14:40:00","15:30:00","A","3","MATH1219","Theory"
"12","Saturday","7B05","08:00:00","10:30:00","B","1","CSE1200","Lab"
"12","Saturday","7A06","10:30:00","11:20:00","B","3","ME1211","Theory"
"12","Saturday","7A06","11:20:00","12:10:00","B","3","CSE1203","Theory"
"12","Saturday","7A06","12:10:00","13:00:00","B","3","CSE1205","Theory"
"12","Sunday","7B06","10:30:00","13:00:00","B","2","CSE1200","Lab"
"12","Sunday","7A04","13:00:00","13:50:00","B","3","EEE1241","Theory"
"12","Sunday","7A04","13:50:00","14:40:00","B","3","EEE1241","Theory"
"12","Sunday","7A04","14:40:00","15:30:00","B","3","ME1211","Theory"
"12","Monday","7A05","13:00:00","13:50:00","B","3","MATH1219","Theory"
"12","Monday","7A05","13:50:00","14:40:00","B","3","CSE1205","Theory"
"12","Monday","7A05","14:40:00","15:30:00","B","3","CSE1203","Theory"
"12","Tuesday","7B03","08:00:00","10:30:00","B","1","CSE1206","Lab"
"12","Tuesday","7A06","10:30:00","11:20:00","B","3","CSE1203","Theory"
"12","Tuesday","7A06","11:20:00","12:10:00","B","3","CSE1205","Theory"
"12","Tuesday","7A06","12:10:00","13:00:00","B","3","ME1211","Theory"
"12","Tuesday","7B05","13:00:00","15:30:00","B","2","CSE1206","Lab"
"12","Wednesday","7A04","13:00:00","13:50:00","B","3","MATH1219","Theory"
"12","Wednesday","7A04","13:50:00","14:40:00","B","3","MATH1219","Theory"
"12","Wednesday","7A04","14:40:00","15:30:00","B","3","EEE1241","Theory"
"21","Saturday","7B03","10:30:00","13:00:00","A","3","CSE2100","Lab"
"21","Sunday","9A05","10:30:00","13:00:00","A","1","CSE2106","Lab"
"21","Sunday","7A06","13:00:00","13:50:00","A","3","CSE2103","Theory"
"21","Sunday","7A06","13:50:00","14:40:00","A","3","CSE2105","Theory"
"21","Sunday","7A06","14:40:00","15:30:00","A","3","EEE2141","Theory"
"21","Monday","7B06","08:00:00","10:30:00","A","2","CSE2104","Lab"
"21","Monday","7A04","10:30:00","11:20:00","A","3","HUM2109","Theory"
"21","Monday","7A04","11:20:00","12:10:00","A","3","HUM2109","Theory"
"21","Monday","7A04","12:10:00","13:00:00","A","3","MATH2101","Theory"
"21","Tuesday","7A05","13:00:00","13:50:00","A","3","EEE2141","Theory"
"21","Tuesday","7A05","13:50:00","14:40:00","A","3","MATH2101","Theory"
"21","Wednesday","7A05","13:00:00","13:50:00","A","3","CSE2103","Theory"
"21","Wednesday","7A05","13:50:00","14:40:00","A","3","MATH2101","Theory"
"21","Wednesday","7A05","14:40:00","15:30:00","A","3","CSE2105","Theory"
"21","Thursday","7B06","08:00:00","10:30:00","A","1","CSE2104","Lab"
"21","Thursday","7A05","12:10:00","13:00:00","A","3","HUM2109","Theory"
"21","Thursday","7A05","13:00:00","13:50:00","A","3","CSE2103","Theory"
"21","Thursday","7A05","13:50:00","14:40:00","A","3","CSE2105","Theory"
"21","Thursday","7A05","14:40:00","15:30:00","A","3","EEE2141","Theory"
"21","Saturday","7B06","08:00:00","10:30:00","B","1","CSE2104","Lab"
"21","Sunday","7A04","08:00:00","08:50:00","B","3","EEE2141","Theory"
"21","Sunday","7A04","08:50:00","09:40:00","B","3","EEE2141","Theory"
"21","Sunday","7A04","09:40:00","10:30:00","B","3","HUM2109","Theory"
"21","Sunday","7B03","10:30:00","13:00:00","B","3","CSE2100","Lab"
"21","Monday","7A05","08:00:00","08:50:00","B","3","HUM2109","Theory"
"21","Monday","7A05","08:50:00","09:40:00","B","3","CSE2103","Theory"
"21","Monday","7A05","09:40:00","10:30:00","B","3","CSE2105","Theory"
"21","Monday","9A05","10:30:00","13:00:00","B","2","CSE2106","Lab"
"21","Tuesday","7A03","08:00:00","08:50:00","B","3","HUM2109","Theory"
"21","Tuesday","7A03","08:50:00","09:40:00","B","3","MATH2101","Theory"
"21","Tuesday","7A03","09:40:00","10:30:00","B","3","EEE2141","Theory"
"21","Wednesday","9A05","10:30:00","13:00:00","B","1","CSE2106","Lab"
"21","Wednesday","7A06","13:00:00","13:50:00","B","3","CSE2105","Theory"
"21","Wednesday","7A06","13:50:00","14:40:00","B","3","CSE2103","Theory"
"21","Wednesday","7A06","14:40:00","15:30:00","B","3","MATH2101","Theory"
"21","Thursday","7B06","10:30:00","13:00:00","B","2","CSE2104","Lab"
"21","Thursday","7A04","13:00:00","13:50:00","B","3","CSE2105","Theory"
